Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1,Unnamed: 38_level_1,Unnamed: 39_level_1,Unnamed: 40_level_1,Unnamed: 41_level_1,Unnamed: 42_level_1,Unnamed: 43_level_1,Unnamed: 44_level_1,Unnamed: 45_level_1,Unnamed: 46_level_1,Unnamed: 47_level_1,Unnamed: 48_level_1,Unnamed: 49_level_1,Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1,Unnamed: 54_level_1,Unnamed: 55_level_1,Unnamed: 56_level_1,Unnamed: 57_level_1,Unnamed: 58_level_1,Unnamed: 59_level_1
2024-25,GSW,70,2252,28.6,27.6,29.2,40.8,38.9,34.3,29.2,7.0,17.5,14.7,28.5,29.9,17.6,14.0,18.3,10.4,29.1,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,GSW,74,2422,30.2,29.2,31.4,45.7,43.8,36.2,31.5,6.4,16.9,14.3,25.3,28.0,16.1,12.6,21.8,12.1,29.3,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,GSW,56,1941,29.7,30.3,30.4,38.7,36.2,41.4,36.1,9.4,21.6,18.8,27.6,28.0,17.0,12.2,26.5,13.7,30.4,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,GSW,64,2211,29.3,27.4,30.2,40.0,39.4,39.5,32.4,7.3,18.4,15.9,30.8,29.2,19.2,9.9,22.3,13.5,27.7,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,GSW,63,2152,33.1,33.9,34.0,48.1,43.9,44.4,39.2,7.7,19.9,17.6,27.5,30.1,20.9,3.8,32.4,12.2,32.8,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,GSW,5,139,28.6,26.2,27.8,31.6,38.6,46.4,38.2,9.1,22.4,18.3,35.9,34.8,23.8,18.2,28.6,17.5,32.2,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,GSW,69,2331,29.2,28.3,30.4,47.9,44.1,31.6,28.2,9.8,17.7,16.1,23.5,27.2,23.7,8.2,22.4,16.4,26.3,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,GSW,51,1631,29.0,27.3,29.0,41.9,42.1,41.2,37.2,12.7,18.5,17.4,28.6,29.0,27.9,3.3,16.8,17.1,31.1,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,GSW,79,2639,28.6,27.0,29.3,41.8,41.0,30.8,27.9,11.5,15.0,14.3,29.4,29.4,24.1,4.5,25.1,17.2,25.9,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
