Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits,Usage Splits
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1,Unnamed: 38_level_1,Unnamed: 39_level_1,Unnamed: 40_level_1,Unnamed: 41_level_1,Unnamed: 42_level_1,Unnamed: 43_level_1,Unnamed: 44_level_1,Unnamed: 45_level_1,Unnamed: 46_level_1,Unnamed: 47_level_1,Unnamed: 48_level_1,Unnamed: 49_level_1,Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1,Unnamed: 54_level_1,Unnamed: 55_level_1,Unnamed: 56_level_1,Unnamed: 57_level_1,Unnamed: 58_level_1,Unnamed: 59_level_1
2024-25,MIL,4,144,35.9,42.5,31.9,0.0,2.9,58.9,62.2,58.6,43.5,47.1,28.6,47.1,16.7,27.3,46.7,12.7,62.3,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,MIL,3,91,34.2,37.3,32.1,0.0,4.8,32.6,48.4,38.1,35.2,35.9,38.1,41.2,7.1,33.3,25.0,23.1,42.3,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,MIL,12,448,37.3,38.0,34.8,8.2,13.1,59.1,63.8,29.5,36.8,35.5,39.1,42.9,13.8,32.6,43.6,25.9,53.2,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,MIL,21,800,31.4,35.9,29.3,7.3,12.1,48.6,57.2,28.0,34.5,32.8,28.7,31.5,17.1,36.2,22.2,21.8,47.8,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,MIL,9,277,33.9,37.5,31.4,15.9,17.2,50.0,57.4,46.6,44.1,44.6,34.7,33.0,15.4,30.8,32.0,23.5,46.5,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,MIL,15,514,31.0,31.1,28.0,13.1,13.3,46.1,51.2,33.3,33.1,33.2,27.4,36.5,23.4,44.1,36.7,20.6,47.9,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,MIL,7,280,27.6,30.7,27.1,7.4,9.9,44.2,45.5,24.2,31.2,30.2,34.4,21.8,28.6,17.1,19.2,20.7,36.2,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,MIL,6,243,29.8,33.5,28.2,8.7,9.0,34.2,45.1,22.7,30.7,28.9,22.4,28.2,31.0,37.0,36.0,19.3,37.6,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,MIL,6,201,20.4,18.6,19.3,0.0,1.6,30.4,30.3,24.5,22.6,23.1,21.3,23.9,6.4,34.6,19.4,21.4,28.8,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
