Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats
Season,TEAM,AGE,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1,Unnamed: 38_level_1,Unnamed: 39_level_1,Unnamed: 40_level_1,Unnamed: 41_level_1,Unnamed: 42_level_1,Unnamed: 43_level_1,Unnamed: 44_level_1,Unnamed: 45_level_1,Unnamed: 46_level_1,Unnamed: 47_level_1,Unnamed: 48_level_1,Unnamed: 49_level_1,Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1,Unnamed: 54_level_1,Unnamed: 55_level_1,Unnamed: 56_level_1,Unnamed: 57_level_1,Unnamed: 58_level_1,Unnamed: 59_level_1
2015-16,LAL,37.0,66,66,1863,1161,398,1113,35.8,133,467,28.5,232,281,82.6,41,206,247,184,62,13,129,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,LAL,36.0,35,35,1207,782,266,713,37.3,54,184,29.3,196,241,81.3,26,173,199,197,47,7,128,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,LAL,35.0,6,6,177,83,31,73,42.5,3,16,18.8,18,21,85.7,2,24,26,38,7,1,34,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,LAL,34.0,78,78,3013,2133,738,1595,46.3,132,407,32.4,525,626,83.9,66,367,433,469,106,25,287,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,LAL,33.0,58,58,2232,1616,574,1336,43.0,87,287,30.3,381,451,84.5,66,247,313,264,69,18,204,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,LAL,32.0,82,82,2779,2078,740,1639,45.1,115,356,32.3,483,583,82.8,83,336,419,388,99,12,243,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,LAL,31.0,73,73,2835,1970,716,1569,45.6,99,301,32.9,439,541,81.1,78,313,391,365,113,20,233,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,LAL,30.0,82,82,2960,2201,800,1712,46.7,118,336,35.1,483,564,85.6,90,339,429,399,120,37,210,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,LAL,29.0,82,82,3192,2323,775,1690,45.9,150,415,36.1,623,742,84.0,94,423,517,441,151,40,257,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
