Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1,Unnamed: 38_level_1,Unnamed: 39_level_1,Unnamed: 40_level_1,Unnamed: 41_level_1,Unnamed: 42_level_1,Unnamed: 43_level_1,Unnamed: 44_level_1,Unnamed: 45_level_1,Unnamed: 46_level_1,Unnamed: 47_level_1,Unnamed: 48_level_1,Unnamed: 49_level_1,Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1,Unnamed: 54_level_1,Unnamed: 55_level_1,Unnamed: 56_level_1,Unnamed: 57_level_1,Unnamed: 58_level_1,Unnamed: 59_level_1
2024-25,DEN,70,2571,2071,786,1364,57.6,138,331,41.7,361,451,80.0,200,692,892,716,230,127,45,160,4501.4,59,34,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,DEN,79,2737,2085,822,1411,58.3,83,231,35.9,358,438,81.7,223,753,976,708,237,108,68,194,4609.2,68,25,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,DEN,69,2323,1690,646,1022,63.2,57,149,38.3,341,415,82.2,167,650,817,678,247,87,47,174,3842.4,58,29,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,DEN,74,2476,2004,764,1311,58.3,97,288,33.7,379,468,81.0,206,813,1019,584,281,109,63,191,4337.8,66,19,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,DEN,72,2488,1898,732,1293,56.6,92,237,38.8,342,394,86.8,205,575,780,599,222,95,48,192,3939.5,60,16,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,DEN,73,2335,1456,565,1071,52.8,80,255,31.4,246,301,81.7,166,545,711,512,226,85,44,222,3238.2,43,13,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,DEN,80,2504,1604,616,1206,51.1,83,270,30.7,289,352,82.1,228,637,865,580,248,108,55,228,3753.0,56,12,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,DEN,75,2443,1385,504,1010,49.9,111,280,39.6,266,313,85.0,195,608,803,458,210,90,61,212,3278.6,38,10,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,DEN,73,2038,1221,494,854,57.8,45,139,32.4,188,228,82.5,212,506,718,359,171,61,55,214,2798.1,39,6,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,DEN,80,1733,796,307,600,51.2,28,84,33.3,154,190,81.1,181,379,560,189,104,79,50,208,2034.5,16,0,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
