Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1,Unnamed: 38_level_1,Unnamed: 39_level_1,Unnamed: 40_level_1,Unnamed: 41_level_1,Unnamed: 42_level_1,Unnamed: 43_level_1,Unnamed: 44_level_1,Unnamed: 45_level_1,Unnamed: 46_level_1,Unnamed: 47_level_1,Unnamed: 48_level_1,Unnamed: 49_level_1,Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1,Unnamed: 54_level_1,Unnamed: 55_level_1,Unnamed: 56_level_1,Unnamed: 57_level_1,Unnamed: 58_level_1,Unnamed: 59_level_1
2024-25,DEN,75,2092,994,373,831,44.9,94,291,32.3,154,233,66.1,102,268,370,457,242,106,37,188,2310.5,13,4,-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,LAC,68,1529,754,301,663,45.4,42,154,27.3,110,160,68.8,93,250,343,306,144,74,23,121,1771.6,8,1,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,TOT,73,2126,1159,432,991,43.6,89,286,31.1,206,314,65.6,89,334,423,551,255,76,33,162,2565.1,24,4,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,LAC,21,635,332,128,262,48.9,26,73,35.6,50,76,65.8,30,72,102,160,71,23,10,41,722.4,7,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,LAL,52,1491,827,304,729,41.7,63,213,29.6,156,238,65.5,59,262,321,391,184,53,23,121,1842.7,17,4,-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,LAL,78,2678,1441,548,1233,44.4,79,265,29.8,266,399,66.7,110,470,580,550,295,75,20,235,2952.0,28,10,-211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,WAS,65,2369,1445,544,1238,43.9,86,273,31.5,271,413,65.6,109,641,750,763,312,89,23,190,3513.5,59,38,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,HOU,57,2049,1553,604,1281,47.2,55,213,25.8,290,380,76.3,100,351,451,401,255,93,20,200,2779.7,22,8,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,OKC,73,2629,1675,630,1473,42.8,119,411,29.0,296,451,65.6,109,698,807,784,325,142,33,245,4019.4,57,34,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,OKC,80,2914,2028,757,1687,44.9,97,326,29.8,417,566,73.7,152,652,804,820,381,147,20,200,4342.8,59,25,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,OKC,81,2802,2558,824,1941,42.5,200,583,34.3,710,840,84.5,137,727,864,840,438,132,31,190,4905.8,62,42,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,OKC,80,2749,1878,656,1444,45.4,101,341,29.6,465,573,81.2,145,481,626,834,342,163,20,200,4087.2,54,18,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,OKC,67,2302,1886,627,1471,42.6,86,288,29.9,546,654,83.5,124,364,488,574,293,140,14,184,3501.6,31,11,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,OKC,46,1412,1002,346,791,43.7,68,214,31.8,242,293,82.6,55,208,263,319,177,88,7,104,1904.1,11,2,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,OKC,82,2861,1903,673,1535,43.8,97,300,32.3,460,575,80.0,111,317,428,607,273,145,24,189,3561.1,23,1,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,OKC,66,2331,1558,578,1266,45.7,62,196,31.6,340,413,82.3,96,205,301,362,239,112,21,147,2622.2,7,0,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,OKC,82,2847,1793,614,1390,44.2,34,103,33.0,531,631,84.2,121,258,379,670,316,155,30,207,3491.8,31,3,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,OKC,82,2813,1322,485,1160,41.8,23,104,22.1,329,422,78.0,143,258,401,652,268,108,34,204,2939.2,24,1,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,OKC,82,2668,1256,436,1095,39.8,35,129,27.1,349,428,81.5,178,221,399,435,274,110,16,191,2491.3,10,1,-273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
