Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1,Unnamed: 38_level_1,Unnamed: 39_level_1,Unnamed: 40_level_1,Unnamed: 41_level_1,Unnamed: 42_level_1,Unnamed: 43_level_1,Unnamed: 44_level_1,Unnamed: 45_level_1,Unnamed: 46_level_1,Unnamed: 47_level_1,Unnamed: 48_level_1,Unnamed: 49_level_1,Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1,Unnamed: 54_level_1,Unnamed: 55_level_1,Unnamed: 56_level_1,Unnamed: 57_level_1,Unnamed: 58_level_1,Unnamed: 59_level_1
2024-25,GSW,70,2252,1718,564,1258,44.8,311,784,39.7,279,299,93.3,40,270,310,421,200,80,30,95,2851.5,9,0,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,GSW,74,2422,1956,650,1445,45.0,357,876,40.8,299,324,92.3,37,293,330,379,210,54,28,117,2956.5,7,0,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,GSW,56,1941,1648,559,1133,49.3,273,639,42.7,257,281,91.5,39,302,341,352,179,52,20,117,2622.2,12,1,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,GSW,64,2211,1630,535,1224,43.7,285,750,38.0,275,298,92.3,34,301,335,404,206,85,23,130,2756.0,12,2,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,GSW,63,2152,2015,658,1365,48.2,337,801,42.1,362,395,91.6,29,316,345,363,213,77,8,119,3015.5,8,0,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,GSW,5,139,104,33,82,40.2,12,49,24.5,26,26,100.0,4,22,26,33,16,5,2,11,189.7,1,0,-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,GSW,69,2331,1881,632,1340,47.2,354,810,43.7,263,287,91.6,45,324,369,361,192,92,25,166,3024.3,3,0,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,GSW,51,1631,1346,428,864,49.5,212,501,42.3,278,302,92.1,36,225,261,310,153,80,8,114,2235.2,5,0,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,GSW,79,2639,1999,675,1443,46.8,324,789,41.1,325,362,89.8,61,292,353,524,239,142,17,183,3446.6,9,0,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,GSW,79,2700,2375,805,1598,50.4,402,886,45.4,363,400,90.8,68,362,430,527,262,169,15,161,3971.5,15,2,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,GSW,80,2613,1900,653,1341,48.7,286,646,44.3,308,337,91.4,56,285,341,619,249,163,16,158,3525.7,23,0,919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,GSW,78,2846,1873,652,1383,47.1,261,615,42.4,308,348,88.5,46,288,334,666,294,128,14,194,3404.8,28,4,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,GSW,78,2983,1786,626,1388,45.1,272,600,45.3,262,291,90.0,59,255,314,539,240,126,12,198,3145.3,15,0,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,GSW,26,732,383,145,296,49.0,55,121,45.5,38,47,80.9,15,73,88,138,65,39,8,62,771.6,3,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,GSW,74,2489,1373,505,1053,48.0,151,342,44.2,212,227,93.4,52,234,286,432,226,109,20,233,2525.2,5,0,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,GSW,80,2896,1399,528,1143,46.2,166,380,43.7,177,200,88.5,48,308,356,472,243,152,19,252,2804.2,12,1,-187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
