Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1,Unnamed: 38_level_1,Unnamed: 39_level_1,Unnamed: 40_level_1,Unnamed: 41_level_1,Unnamed: 42_level_1,Unnamed: 43_level_1,Unnamed: 44_level_1,Unnamed: 45_level_1,Unnamed: 46_level_1,Unnamed: 47_level_1,Unnamed: 48_level_1,Unnamed: 49_level_1,Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1,Unnamed: 54_level_1,Unnamed: 55_level_1,Unnamed: 56_level_1,Unnamed: 57_level_1,Unnamed: 58_level_1,Unnamed: 59_level_1
2024-25,LAL,70,2444,1710,651,1270,51.3,149,396,37.6,259,331,78.2,72,474,546,575,260,70,39,99,3294.7,32,10,-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,LAL,71,2504,1822,685,1269,54.0,149,363,41.0,303,404,75.0,61,457,518,589,245,89,38,78,3463.1,27,5,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,LAL,55,1954,1590,609,1219,50.0,121,377,32.1,251,327,76.8,65,392,457,375,178,50,32,88,2768.9,18,2,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,LAL,56,2084,1695,640,1221,52.4,161,448,35.9,254,336,75.6,63,396,459,349,196,73,59,121,2969.3,21,6,-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,LAL,45,1504,1126,422,823,51.3,104,285,36.5,178,255,69.8,29,317,346,350,168,48,25,70,2117.2,18,5,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,LAL,67,2316,1698,643,1303,49.3,148,425,34.8,264,381,69.3,66,459,525,684,261,78,36,118,3435.0,46,13,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,LAL,55,1937,1505,558,1095,51.0,111,327,33.9,278,418,66.5,57,408,465,454,197,72,33,94,2862.0,32,8,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,CLE,82,3026,2251,857,1580,54.2,149,406,36.7,388,531,73.1,97,612,709,747,347,116,71,136,4436.3,52,18,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,CLE,74,2795,1954,736,1344,54.8,124,342,36.3,358,531,67.4,97,542,639,646,303,92,44,134,3794.8,42,13,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
